,created_at,neg,neu,pos,label
313,2019-11-23 23:29:31+00:00,0.215,0.579,0.207,28.9
314,2019-11-23 23:28:50+00:00,0.112,0.888,0.0,28.9
315,2019-11-23 23:28:36+00:00,0.112,0.888,0.0,28.9
316,2019-11-23 23:28:31+00:00,0.112,0.888,0.0,28.9
317,2019-11-23 23:28:12+00:00,0.112,0.888,0.0,28.9
318,2019-11-23 23:28:00+00:00,0.0,1.0,0.0,28.9
319,2019-11-23 23:27:46+00:00,0.0,1.0,0.0,28.9
320,2019-11-23 23:27:45+00:00,0.112,0.888,0.0,28.9
321,2019-11-23 23:27:18+00:00,0.112,0.888,0.0,28.9
322,2019-11-23 23:26:43+00:00,0.112,0.888,0.0,28.9
323,2019-11-23 23:26:39+00:00,0.215,0.579,0.207,28.9
324,2019-11-23 23:26:24+00:00,0.0,1.0,0.0,28.9
325,2019-11-23 23:25:55+00:00,0.112,0.888,0.0,28.9
326,2019-11-23 23:25:53+00:00,0.112,0.888,0.0,28.9
327,2019-11-23 23:25:23+00:00,0.112,0.888,0.0,28.9
328,2019-11-23 23:25:12+00:00,0.112,0.888,0.0,28.9
329,2019-11-23 23:25:12+00:00,0.0,1.0,0.0,28.9
330,2019-11-23 23:25:00+00:00,0.0,1.0,0.0,28.9
331,2019-11-23 23:24:59+00:00,0.0,0.526,0.474,28.9
332,2019-11-23 23:24:23+00:00,0.112,0.888,0.0,28.9
333,2019-11-23 23:24:14+00:00,0.112,0.888,0.0,28.9
334,2019-11-23 23:19:57+00:00,0.0,0.707,0.293,28.9
335,2019-11-23 23:14:33+00:00,0.0,0.859,0.141,28.9
336,2019-11-23 23:12:26+00:00,0.0,0.56,0.44,28.9
337,2019-11-23 23:02:46+00:00,0.0,0.686,0.314,28.9
338,2019-11-23 22:57:39+00:00,0.0,0.686,0.314,28.9
339,2019-11-23 22:49:37+00:00,0.0,0.686,0.314,28.9
340,2019-11-23 22:45:56+00:00,0.0,1.0,0.0,28.9
341,2019-11-23 22:45:49+00:00,0.0,0.846,0.154,28.9
342,2019-11-23 22:45:08+00:00,0.0,1.0,0.0,28.9
343,2019-11-23 22:44:30+00:00,0.0,0.686,0.314,28.9
344,2019-11-23 22:43:19+00:00,0.0,1.0,0.0,28.9
345,2019-11-23 22:43:08+00:00,0.0,0.846,0.154,28.9
346,2019-11-23 22:41:51+00:00,0.0,0.846,0.154,28.9
347,2019-11-23 22:38:17+00:00,0.0,0.743,0.257,28.9
348,2019-11-23 22:38:03+00:00,0.0,0.846,0.154,28.9
349,2019-11-23 22:37:00+00:00,0.0,1.0,0.0,28.9
350,2019-11-23 22:35:25+00:00,0.0,0.686,0.314,28.9
351,2019-11-23 22:28:11+00:00,0.0,1.0,0.0,28.9
352,2019-11-23 22:22:42+00:00,0.0,0.686,0.314,28.9
353,2019-11-23 22:21:38+00:00,0.0,0.577,0.423,28.9
354,2019-11-23 22:20:35+00:00,0.0,0.707,0.293,28.9
355,2019-11-23 22:20:03+00:00,0.0,0.686,0.314,28.9
356,2019-11-23 22:18:04+00:00,0.0,0.577,0.423,28.9
357,2019-11-23 22:16:53+00:00,0.0,1.0,0.0,28.9
358,2019-11-23 22:14:45+00:00,0.0,0.798,0.202,28.9
359,2019-11-23 22:14:02+00:00,0.0,1.0,0.0,28.9
360,2019-11-23 22:11:00+00:00,0.0,1.0,0.0,28.9
361,2019-11-23 22:09:02+00:00,0.0,0.0,1.0,28.9
362,2019-11-23 22:07:37+00:00,0.0,1.0,0.0,28.9
363,2019-11-23 22:05:58+00:00,0.0,0.787,0.213,28.9
364,2019-11-23 22:04:12+00:00,0.0,1.0,0.0,28.9
365,2019-11-23 22:03:10+00:00,0.0,1.0,0.0,28.9
366,2019-11-23 22:01:56+00:00,0.178,0.606,0.215,28.9
367,2019-11-23 22:00:10+00:00,0.0,0.686,0.314,28.9
368,2019-11-23 21:55:29+00:00,0.0,1.0,0.0,28.9
369,2019-11-23 21:54:55+00:00,0.0,1.0,0.0,28.9
370,2019-11-23 21:54:52+00:00,0.0,0.686,0.314,28.9
371,2019-11-23 21:46:40+00:00,0.0,0.486,0.514,28.9
372,2019-11-23 21:45:47+00:00,0.0,0.667,0.333,28.9
373,2019-11-23 21:41:16+00:00,0.0,0.686,0.314,28.9
374,2019-11-23 21:40:13+00:00,0.0,0.686,0.314,28.9
375,2019-11-23 21:39:47+00:00,0.0,0.508,0.492,28.9
376,2019-11-23 21:37:19+00:00,0.0,0.686,0.314,28.9
377,2019-11-23 21:36:34+00:00,0.0,0.686,0.314,28.9
378,2019-11-23 21:33:54+00:00,0.0,0.686,0.314,28.9
379,2019-11-23 21:33:06+00:00,0.0,0.686,0.314,28.9
380,2019-11-23 21:32:50+00:00,0.0,0.645,0.355,28.9
381,2019-11-23 21:27:11+00:00,0.0,0.686,0.314,28.9
382,2019-11-23 21:25:39+00:00,0.0,0.686,0.314,28.9
383,2019-11-23 21:25:12+00:00,0.0,0.571,0.429,28.9
384,2019-11-23 21:24:56+00:00,0.0,0.686,0.314,28.9
385,2019-11-23 21:24:35+00:00,0.0,0.686,0.314,28.9
386,2019-11-23 21:24:31+00:00,0.0,0.686,0.314,28.9
387,2019-11-23 21:24:19+00:00,0.0,0.625,0.375,28.9
388,2019-11-23 21:20:40+00:00,0.219,0.781,0.0,28.9
389,2019-11-23 21:20:01+00:00,0.174,0.671,0.155,28.9
390,2019-11-23 20:52:44+00:00,0.0,0.734,0.266,28.9
391,2019-11-23 20:51:03+00:00,0.0,1.0,0.0,28.9
392,2019-11-23 20:50:37+00:00,0.0,0.526,0.474,28.9
393,2019-11-23 20:47:40+00:00,0.0,0.56,0.44,28.9
394,2019-11-23 20:39:37+00:00,0.0,0.818,0.182,28.9
395,2019-11-23 20:34:57+00:00,0.0,1.0,0.0,28.9
396,2019-11-23 20:32:26+00:00,0.0,0.734,0.266,28.9
397,2019-11-23 20:31:54+00:00,0.0,0.707,0.293,28.9
